claim_id,claim_text,metric_value,period_or_date,source_url,source_date,source_tier,confidence_score,notes_on_limitations
VIANT_C001,"Viant reported Q3 2025 revenue.",$95.1M,Q3 2025,https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/,2025-11-10,A,High,Public-company investor release.
VIANT_C002,"Viant reported Q3 2025 revenue growth.",32% YoY,Q3 2025,https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/,2025-11-10,A,High,Public-company investor release.
VIANT_C003,"Viant reported CTV share of total ad spend.",46%,Q3 2025,https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/,2025-11-10,A,Medium,Company-defined KPI.
VIANT_C004,"Viant reported CTV ad spend growth.",45% YoY,Q3 2025,https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/,2025-11-10,A,Medium,Company-defined KPI.
VIANT_C005,"Viant updated FY2025 revenue guidance range.",$390M-$400M,FY2025 guidance,https://www.viantinc.com/company/news/press-releases/viant-technology-announces-third-quarter-2025-financial-results/,2025-11-10,A,Medium,Forward-looking guidance.
VIANT_C006,"Viant launched ViantAI as an AI-focused platform initiative.",Launch announcement,2025-10-07,https://www.viantinc.com/company/news/press-releases/viant-technology-debuts-viantai-signaling-a-new-era-in-programmatic-advertising/,2025-10-07,B,Medium,Official product announcement.
VIANT_C007,"Viant announced direct CTV access expansion with Magnite SpringServe.",Integration launch,2025-08-20,https://www.viantinc.com/company/news/press-releases/viant-expands-direct-access-in-ctv-with-magnite-springserve-integration/,2025-08-20,B,Medium,Official partnership announcement.
VIANT_C008,"Viant stated direct CTV path expansion can support quality and efficiency objectives.",Strategic rationale,2025-08-20,https://www.viantinc.com/company/news/press-releases/viant-expands-direct-access-in-ctv-with-magnite-springserve-integration/,2025-08-20,B,Medium,Vendor statement, not independent benchmark.
VIANT_C009,"Viant filed quarterly SEC report for Q3 period.",Form 10-Q filing,2025-11,https://www.sec.gov/Archives/edgar/data/1828972/000095017025113675/dsp-20250930.htm,2025-11,A,High,SEC filing reference.
VIANT_C010,"Viant is a public company with recurring disclosure cadence.",Public filing transparency,2024-2026,https://www.sec.gov/Archives/edgar/data/1828972/000095017025113675/dsp-20250930.htm,2025-11,A,High,SEC evidence.
VIANT_C011,"MNTN is a direct benchmark competitor with public FY2025 filing data.",Benchmark context,2026,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm,2026-02,A,High,Competitive context source.
VIANT_C012,"Tatari publicly emphasizes convergent TV execution strategy.",Benchmark context,2025-09-04,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html,2025-09-04,B,Medium,Competitor positioning source.
VIANT_C013,"Viant's CTV growth plus direct-access initiatives indicate ongoing CTV strategic prioritization.",Strategic inference,2025-2026,Cross-source inference,2026-03,C,Medium,Inference from multiple official releases.
VIANT_C014,"Viant's relative advantage is strongest in omnichannel DSP use cases requiring CTV integration.",Segment inference,2026,Cross-source inference,2026-03,C,Medium,Inference requiring validation with win/loss data.
