claim_id,claim_text,metric_value,period_or_date,source_url,source_date,source_tier,confidence_score,notes_on_limitations
MNTN_C001,"MNTN reported FY2025 revenue in Form 10-K.",$290.093M,FY2025,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm,2026-02,A,High,SEC-filed financial metric.
MNTN_C002,"MNTN reported FY2025 net loss.",$6.426M,FY2025,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm,2026-02,A,High,SEC-filed financial metric.
MNTN_C003,"MNTN reported cash and cash equivalents at year-end.",$210.204M,2025-12-31,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm,2026-02,A,High,SEC-filed balance sheet metric.
MNTN_C004,"MNTN reported no borrowings outstanding.",No borrowings,2025-12-31,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm,2026-02,A,High,SEC disclosure.
MNTN_C005,"MNTN IPO closed on May 23, 2025.",IPO closing date,2025-05-23,https://www.sec.gov/Archives/edgar/data/0001891027/000189102725000012/mntn-20250630.htm,2025-08,A,High,SEC 10-Q disclosure.
MNTN_C006,"MNTN reported net proceeds from company shares in IPO.",$185.4M,2025-05,https://www.sec.gov/Archives/edgar/data/0001891027/000189102725000012/mntn-20250630.htm,2025-08,A,High,SEC 10-Q disclosure.
MNTN_C007,"MNTN reported Q4 2025 revenue.",$92.5M,Q4 2025,https://www.nasdaq.com/press-release/mntn-reports-record-fourth-quarter-and-full-year-2025-results-2026-02-10,2026-02,B,Medium,Official earnings press release not SEC filing.
MNTN_C008,"MNTN reported FY2025 gross margin.",77%,FY2025,https://www.nasdaq.com/press-release/mntn-reports-record-fourth-quarter-and-full-year-2025-results-2026-02-10,2026-02,B,Medium,Company-reported in earnings release.
MNTN_C009,"MNTN reported trailing-12-month active customer growth.",63% YoY,2025 year-end,https://www.nasdaq.com/press-release/mntn-reports-record-fourth-quarter-and-full-year-2025-results-2026-02-10,2026-02,B,Medium,Company-reported KPI definition may differ from peers.
MNTN_C010,"MNTN introduced MNTN Matched AI audience product.",Product launch,2024-06-12,https://www.businesswire.com/news/home/20240612119611/en/MNTN-Introduces-MNTN-Matched-AI-Powered-Precision-Audience-Targeting-Bringing-6x-More-Visits-and-2x-More-Revenue-Generated-by-TV-Advertising,2024-06,B,Low,Performance uplift claims are vendor self-reported.
MNTN_C011,"MNTN Matched launch claims higher visits.",6x more visits,2024 launch claims,https://www.businesswire.com/news/home/20240612119611/en/MNTN-Introduces-MNTN-Matched-AI-Powered-Precision-Audience-Targeting-Bringing-6x-More-Visits-and-2x-More-Revenue-Generated-by-TV-Advertising,2024-06,B,Low,Self-reported benchmark not independently audited.
MNTN_C012,"MNTN Matched launch claims higher revenue generated.",2x more revenue,2024 launch claims,https://www.businesswire.com/news/home/20240612119611/en/MNTN-Introduces-MNTN-Matched-AI-Powered-Precision-Audience-Targeting-Bringing-6x-More-Visits-and-2x-More-Revenue-Generated-by-TV-Advertising,2024-06,B,Low,Self-reported benchmark not independently audited.
MNTN_C013,"MNTN announced QuickFrame AI feature expansion.",Product update,2026-01-28,https://www.nasdaq.com/press-release/mntns-latest-innovation-quickframe-ai-scales-rapidly-new-ai-video-features-including,2026-01,B,Medium,Official company release.
MNTN_C014,"MNTN and Magnite announced expanded relationship for live streaming moments.",Partnership expansion,2026-01-22,https://www.globenewswire.com/news-release/2026/01/22/3223674/0/en/MNTN-and-Magnite-Turn-Live-Streaming-s-Biggest-Moments-Into-Performance-TV-for-Growth-Brands.html,2026-01,B,Medium,Partnership claims are joint-vendor statements.
MNTN_C015,"MNTN and Magnite release stated high share of advertisers new to TV.",97%,2026 campaign statement,https://www.globenewswire.com/news-release/2026/01/22/3223674/0/en/MNTN-and-Magnite-Turn-Live-Streaming-s-Biggest-Moments-Into-Performance-TV-for-Growth-Brands.html,2026-01,B,Low,Self-reported campaign sample.
MNTN_C016,"MNTN partnered with ZoomInfo for B2B TV advertising workflows.",Partnership announcement,2025-06-30,https://www.businesswire.com/news/home/20250630540712/en/MNTN-and-ZoomInfo-Announce-Partnership-to-Revolutionize-B2B-Advertising-on-Television,2025-06,B,Medium,Official partnership announcement.
MNTN_C017,"MNTN reported agency account growth in Q3 2025 commentary.",89% YoY account increase,Q3 2025,https://www.businesswire.com/news/home/20251104048706/en/MNTN-Reports-Record-Third-Quarter-2025-Results,2025-11,B,Medium,Company KPI definition may differ from peer metrics.
MNTN_C018,"MNTN help center listed Northbeam integration in product updates.",Integration mention,2025-11,https://help.mountain.com/en/articles/12590590-mntn-updates-july-december-2025,2025-11,B,Medium,Operational documentation source; limited quantitative impact data.
