claim_id,claim_text,metric_value,period_or_date,source_url,source_date,source_tier,confidence_score,notes_on_limitations
TATARI_C001,"Tatari announced a major platform redesign focused on convergent TV simplification.",Product redesign launch,2025-09-04,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html,2025-09-04,B,Medium,Official company release but not independently benchmarked.
TATARI_C002,"Tatari describes its system as convergent TV spanning linear and streaming execution.",Convergent TV positioning,2025-09-04,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html,2025-09-04,B,Medium,Positioning claim from vendor press release.
TATARI_C003,"TheViewPoint rebranded to Upstream and launched direct-sales automation for CTV publishers.",Launch announcement,2026-02-19,https://www.globenewswire.com/news-release/2026/02/19/3241147/0/en/TheViewPoint-rebrands-to-Upstream-Launches-Direct-Sales-Automation-Platform-for-CTV-Publishers.html,2026-02-19,B,Medium,Official release but adoption outcomes not independently verified.
TATARI_C004,"Upstream launch messaging emphasizes direct transaction workflow between buyers and publishers.",Direct-sales automation focus,2026-02-19,https://www.globenewswire.com/news-release/2026/02/19/3241147/0/en/TheViewPoint-rebrands-to-Upstream-Launches-Direct-Sales-Automation-Platform-for-CTV-Publishers.html,2026-02-19,B,Medium,Vendor-authored messaging.
TATARI_C005,"Tatari insight article argues direct CTV buying is becoming easier through infrastructure changes.",Strategic thesis,2026,https://www.tatari.tv/insights/moving-upstream-why-buying-ctv-directly-just-got-exponentially-better,2026,B,Low,Editorial content from company-owned channel.
TATARI_C006,"Tatari insight article states Tatari supports over 400 brands.","400+ brands",2026,https://www.tatari.tv/insights/moving-upstream-why-buying-ctv-directly-just-got-exponentially-better,2026,B,Low,Self-reported scale metric.
TATARI_C007,"Tatari frames supply-path control as a core opportunity for better execution.",Supply-path control narrative,2026,https://www.tatari.tv/insights/moving-upstream-why-buying-ctv-directly-just-got-exponentially-better,2026,B,Low,Company-authored strategy narrative.
TATARI_C008,"Tatari is privately held and does not provide SEC financial filings.",No SEC revenue/profit disclosures,2024-2026,https://www.sec.gov/cgi-bin/browse-edgar?CIK=tatari&owner=exclude&action=getcompany,2026-03,C,High,Observation from SEC company-search absence; not a Tatari statement.
TATARI_C009,"Financial comparability to public peers is limited by private-company disclosure levels.",Higher uncertainty on financial durability,2024-2026,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html,2025-09-04,C,Medium,Inference due to absence of audited public filings.
TATARI_C010,"MNTN is publicly listed and provides SEC disclosures, unlike Tatari.",Relative transparency contrast,2025-2026,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm,2026-02,A,High,Benchmark context from SEC source.
TATARI_C011,"Tatari's 2025 redesign suggests continued investment in workflow unification.",Roadmap direction signal,2025-09-04,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html,2025-09-04,C,Medium,Inference from launch messaging.
TATARI_C012,"Upstream launch indicates ecosystem emphasis on publisher-direct rails.",Infrastructure direction signal,2026-02-19,https://www.globenewswire.com/news-release/2026/02/19/3241147/0/en/TheViewPoint-rebrands-to-Upstream-Launches-Direct-Sales-Automation-Platform-for-CTV-Publishers.html,2026-02-19,C,Medium,Inference from launch positioning.
TATARI_C013,"Tatari's public materials emphasize convergent TV rather than pure CTV-only execution.",Positioning distinction,2025-2026,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html,2025-09-04,B,Medium,Derived from official messaging.
TATARI_C014,"Tatari's direct-buying narrative may improve control and efficiency if adopted by buyers and publishers.",Potential performance implication,2026,https://www.tatari.tv/insights/moving-upstream-why-buying-ctv-directly-just-got-exponentially-better,2026,C,Low,Forward-looking inference, not proven outcome data.
TATARI_C015,"Tatari outcome claims should be treated as directional without independent benchmark disclosures.",Confidence qualifier,2024-2026,https://www.tatari.tv/insights/moving-upstream-why-buying-ctv-directly-just-got-exponentially-better,2026,C,Medium,Methodological caution based on source type.
