claim_id,claim_text,metric_value,period_or_date,source_url,source_date,source_tier,confidence_score,notes_on_limitations
VIBE_C001,"Vibe announced a Series B financing round.",$50M,2025-09-30,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html,2025-09-30,B,Medium,Official company press release.
VIBE_C002,"Vibe announcement states post-money valuation.",$410M,2025-09-30,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html,2025-09-30,B,Low,Self-reported private-company financing metric.
VIBE_C003,"Vibe announcement states annualized revenue run-rate.",">$100M run rate",2025-09-30,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html,2025-09-30,B,Low,Self-reported and unaudited.
VIBE_C004,"Vibe announcement reports scale of ad impressions served.",">500B impressions",2025-09-30,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html,2025-09-30,B,Low,Self-reported operational metric.
VIBE_C005,"Vibe announcement reports campaign volume.",">200000 campaigns",2025-09-30,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html,2025-09-30,B,Low,Self-reported operational metric.
VIBE_C006,"Vibe announcement emphasizes AI-powered hyper-targeted TV advertising.",AI positioning claim,2025-09-30,https://www.globenewswire.com/news-release/2025/09/30/3158376/0/en/Vibe-co-Raises-50M-Series-B-to-Bring-AI-Powered-Hyper-Targeted-Advertising-to-TV.html,2025-09-30,B,Medium,Official messaging, limited external benchmark detail.
VIBE_C007,"Vibe homepage positions product as self-serve CTV advertising.",Self-serve positioning,2026 snapshot,https://www.vibe.co/,2026-03-01,B,Medium,Website marketing claims.
VIBE_C008,"Vibe homepage emphasizes fast campaign launch and ease-of-use.",Ease/speed value proposition,2026 snapshot,https://www.vibe.co/,2026-03-01,B,Medium,Website marketing claims.
VIBE_C009,"Vibe is privately held and does not publish SEC audited financials.",No SEC financial filings,2024-2026,https://www.sec.gov/cgi-bin/browse-edgar?CIK=vibe+co&owner=exclude&action=getcompany,2026-03,C,High,Observation from SEC search availability.
VIBE_C010,"MNTN provides SEC financial transparency as a public benchmark competitor.",Relative transparency contrast,2025-2026,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm,2026-02,A,High,SEC benchmark context.
VIBE_C011,"Tatari highlights convergent TV orchestration in official positioning.",Competitive contrast signal,2025-09-04,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html,2025-09-04,B,Medium,Comparison context from competitor statement.
VIBE_C012,"Viant public messaging highlights direct CTV access expansion.",Competitive contrast signal,2025-08-20,https://www.viantinc.com/company/news/press-releases/viant-expands-direct-access-in-ctv-with-magnite-springserve-integration/,2025-08-20,B,Medium,Comparison context from competitor statement.
VIBE_C013,"Vibe's SMB/mid-market threat profile is strongest where simplicity outranks complex control-plane needs.",Segment inference,2026,Cross-source inference,2026-03,C,Medium,Inference based on positioning and available disclosures.
VIBE_C014,"Vibe financial durability carries higher uncertainty due to private disclosure model.",Risk qualifier,2026,Cross-source inference,2026-03,C,Medium,Inference from absence of audited disclosures.
