claim_id,claim_text,metric_value,period_or_date,source_url,source_date,source_tier,confidence_score,notes_on_limitations
TTD_C001,"The Trade Desk reported Q4 2025 revenue.",$741M,Q4 2025,https://www.thetradedesk.com/press-room/the-trade-desk-reports-fourth-quarter-and-fiscal-year-2025-financial-results,2026-02-12,A,High,Official investor release from public company.
TTD_C002,"The Trade Desk reported FY2025 revenue.",$2.44B,FY2025,https://www.thetradedesk.com/press-room/the-trade-desk-reports-fourth-quarter-and-fiscal-year-2025-financial-results,2026-02-12,A,High,Official investor release from public company.
TTD_C003,"The Trade Desk reported FY2025 adjusted EBITDA.",$1.01B,FY2025,https://www.thetradedesk.com/press-room/the-trade-desk-reports-fourth-quarter-and-fiscal-year-2025-financial-results,2026-02-12,A,Medium,Non-GAAP metric per company definition.
TTD_C004,"The Trade Desk filed FY2025 Form 10-K.",Form 10-K filed,2026-02,https://www.sec.gov/Archives/edgar/data/1671933/000167193326000013/ttd-20251231.htm,2026-02,A,High,SEC filing.
TTD_C005,"The Trade Desk communicated connected TV ecosystem initiatives in earnings materials.",Platform/ecosystem expansion signal,2026-02-12,https://www.thetradedesk.com/press-room/the-trade-desk-reports-fourth-quarter-and-fiscal-year-2025-financial-results,2026-02-12,B,Medium,Strategic narrative, impact not yet quantified.
TTD_C006,"Public disclosures indicate large-scale financial durability relative to smaller CTV specialists.",Relative scale signal,2026,Cross-source inference,2026-03,C,High,Inference based on disclosed revenue and EBITDA scale.
TTD_C007,"MNTN remains a focused performance-TV benchmark competitor.",Benchmark context,2026,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm,2026-02,A,High,Competitive context from SEC filing.
TTD_C008,"Tatari emphasizes convergent TV strategy in public messaging.",Benchmark context,2025-09-04,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html,2025-09-04,B,Medium,Competitive context from official release.
TTD_C009,"Upstream launch reflects competitive pressure toward direct-buying workflows in CTV.",Benchmark context,2026-02-19,https://www.globenewswire.com/news-release/2026/02/19/3241147/0/en/TheViewPoint-rebrands-to-Upstream-Launches-Direct-Sales-Automation-Platform-for-CTV-Publishers.html,2026-02-19,B,Medium,Competitive context from official release.
TTD_C010,"Viant announced direct CTV supply-path expansion in 2025.",Benchmark context,2025-08-20,https://www.viantinc.com/company/news/press-releases/viant-expands-direct-access-in-ctv-with-magnite-springserve-integration/,2025-08-20,B,Medium,Competitive context from official release.
TTD_C011,"TTD's strongest competitive posture is enterprise/agency omnichannel execution at scale.",Segment inference,2026,Cross-source inference,2026-03,C,Medium,Inference based on company scale and platform model.
TTD_C012,"TTD may be less optimized for lowest-friction SMB CTV onboarding than specialist tools.",Segment inference,2026,Cross-source inference,2026-03,C,Low,Comparative inference requiring win/loss validation.
TTD_C013,"TTD's CTV-specific take-rate economics are not fully broken out publicly.",Disclosure limitation,2026,https://www.sec.gov/Archives/edgar/data/1671933/000167193326000013/ttd-20251231.htm,2026-02,C,Medium,Observation based on available filing detail.
