claim_id,claim_text,metric_value,period_or_date,source_url,source_date,source_tier,confidence_score,notes_on_limitations
TVS_C001,"Pinterest announced an agreement to acquire tvScientific.",Acquisition announced,2025,https://investor.pinterestinc.com/news-and-events/press-releases/press-releases-details/2025/Pinterest-to-Acquire-tvScientific-Expanding-Performance-Advertising-to-Connected-TV/default.aspx,2025,B,High,Official investor relations release.
TVS_C002,"Pinterest framed acquisition as expansion of performance advertising into CTV.",Strategic rationale,2025,https://investor.pinterestinc.com/news-and-events/press-releases/press-releases-details/2025/Pinterest-to-Acquire-tvScientific-Expanding-Performance-Advertising-to-Connected-TV/default.aspx,2025,B,Medium,Official statement, forward-looking.
TVS_C003,"Pinterest reported 600M+ monthly active users in acquisition release.",600M+ MAUs,2025,https://investor.pinterestinc.com/news-and-events/press-releases/press-releases-details/2025/Pinterest-to-Acquire-tvScientific-Expanding-Performance-Advertising-to-Connected-TV/default.aspx,2025,B,Medium,Company-reported scale metric.
TVS_C004,"SEC filing disclosed transaction close date for tvScientific acquisition.",2026-02-17 close date,2026-02-17,https://www.sec.gov/Archives/edgar/data/1506293/000150629326000026/pins-20260217.htm,2026-02-17,A,High,SEC 8-K disclosure.
TVS_C005,"SEC filing included Pinterest Q1 2026 revenue guidance update.",$958M-$978M,2026 Q1 guidance,https://www.sec.gov/Archives/edgar/data/1506293/000150629326000026/pins-20260217.htm,2026-02-17,A,High,SEC 8-K disclosure.
TVS_C006,"tvScientific now should be assessed in context of Pinterest platform integration.",Post-close strategic context,2026,Cross-source inference,2026-03,C,Medium,Inference from acquisition and close disclosures.
TVS_C007,"Public disclosures do not provide tvScientific standalone revenue breakout post-close.",No public standalone revenue breakout,2026,https://www.sec.gov/Archives/edgar/data/1506293/000150629326000026/pins-20260217.htm,2026-02-17,C,High,Observation from disclosed documents.
TVS_C008,"Public disclosures provide limited granular supply-path transparency for tvScientific.",Limited disclosed supply-path detail,2025-2026,https://investor.pinterestinc.com/news-and-events/press-releases/press-releases-details/2025/Pinterest-to-Acquire-tvScientific-Expanding-Performance-Advertising-to-Connected-TV/default.aspx,2025,C,Medium,Inference from available disclosure scope.
TVS_C009,"MNTN provides public SEC transparency as benchmark contrast.",Benchmark contrast,2026,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm,2026-02,A,High,Context source from public peer.
TVS_C010,"Tatari publicly emphasizes convergent TV execution.",Competitive benchmark,2025-09-04,https://www.globenewswire.com/news-release/2025/09/04/3144769/0/en/Tatari-Redesigns-TV-Advertising-With-Major-Platform-Update-to-Simplify-Convergent-TV.html,2025-09-04,B,Medium,Competitor positioning source.
TVS_C011,"Viant publicly emphasized direct CTV access expansion in 2025.",Competitive benchmark,2025-08-20,https://www.viantinc.com/company/news/press-releases/viant-expands-direct-access-in-ctv-with-magnite-springserve-integration/,2025-08-20,B,Medium,Competitor positioning source.
TVS_C012,"Integration success risk hinges on execution speed of product and reporting integration.",Execution risk qualifier,2026,Cross-source inference,2026-03,C,Medium,Forward-looking inference.
TVS_C013,"tvScientific/Pinterest threat is likely strongest among Pinterest-native performance advertisers.",Segment inference,2026,Cross-source inference,2026-03,C,Low,Inference pending post-close performance evidence.
