claim_id,claim_text,metric_value,period_or_date,source_url,source_date,source_tier,confidence_score,notes_on_limitations
C001,"IAB forecasts total U.S. ad spend growth of 9.5% in 2026.","9.5%","2026 forecast","https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/","2025-12-09","B","High","Forecast from industry body; outcome subject to macro shifts."
C002,"IAB projects CTV ad spend growth of 13.8% in 2026.","13.8%","2026 forecast","https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/","2025-12-09","B","High","Forecast model assumptions may change."
C003,"IAB outlook projects linear TV ad spend decline.","-1.7%","2026 forecast","https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/","2025-12-09","B","High","Forecast estimate."
C004,"Buy-side focus on cross-platform measurement increased.","72%","2026 outlook survey","https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/","2025-12-09","B","Medium","Survey-based measure, not census."
C005,"Cross-platform measurement priority in prior wave.","64%","2025 outlook survey","https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/","2025-12-09","B","Medium","Survey-based and year-over-year comparison context-specific."
C006,"IAB reports about two-thirds of buy-side respondents focus on agentic AI for media buying.","~66%","2026 outlook survey","https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/","2025-12-09","B","Medium","Survey phrasing and sample composition affect generalization."
C007,"IAB estimates U.S. digital video ad spend in 2024.","$64.4B","2024","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","High","Industry model estimate; not SEC-audited."
C008,"IAB projects U.S. digital video ad spend in 2025.","$72.4B","2025 projected","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","High","Projection at publication time."
C009,"IAB estimated U.S. CTV ad spend in 2023.","$20.3B","2023","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","High","Industry estimate."
C010,"IAB estimated U.S. CTV ad spend in 2024.","$23.6B","2024","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","High","Industry estimate."
C011,"IAB projected U.S. CTV ad spend in 2025.","$26.6B","2025 projected","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","High","Projection at publication time."
C012,"IAB reports CTV growth rebounded in 2024.","16% YoY","2024","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","Medium","Depends on IAB category definitions and prior-year baseline."
C013,"IAB indicates major share of expected 2025 CTV spend growth comes from linear TV reallocations.","36%","2025 planning responses","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","Medium","Survey response, not direct transaction-level tracking."
C014,"IAB indicates major share of expected 2025 CTV spend growth comes from social reallocations.","36%","2025 planning responses","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","Medium","Survey response, not direct transaction-level tracking."
C015,"IAB estimated social video ad spend.","$23.7B","2024","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","Medium","Category boundary with CTV/OLV can vary by source."
C016,"IAB estimated online video ad spend.","$16.6B","2024","https://www.iab.com/insights/video-ad-spend-report-2025/","2025-04-16","B","Medium","Category boundary with social video/CTV can vary by source."
C017,"Nielsen reported streaming share of total TV viewing.","44.8%","May 2025","https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/","2025-06","B","High","Gauge methodology is panel/model-based."
C018,"Nielsen reported combined broadcast and cable share.","44.2%","May 2025","https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/","2025-06","B","High","Gauge methodology and definitions apply."
