normalized_claim_id,domain,company,claim_summary,metric_value,period_or_date,source_tier,confidence_score,source_url
T001,Market,Market,"IAB forecasts total U.S. ad spend growth.",9.5%,2026 forecast,B,High,https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/
T002,Market,Market,"IAB projects U.S. CTV ad spend growth.",13.8%,2026 forecast,B,High,https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/
T003,Market,Market,"IAB outlook projects linear TV decline.",-1.7%,2026 forecast,B,High,https://www.iab.com/news/outlook-study-forecasts-9-5-growth-in-u-s-ad-spend/
T004,Market,Market,"IAB estimates U.S. digital video ad spend.",$64.4B,2024,B,High,https://www.iab.com/insights/video-ad-spend-report-2025/
T005,Market,Market,"IAB projects U.S. digital video ad spend.",$72.4B,2025 projected,B,High,https://www.iab.com/insights/video-ad-spend-report-2025/
T006,Market,Market,"IAB estimates U.S. CTV ad spend.",$23.6B,2024,B,High,https://www.iab.com/insights/video-ad-spend-report-2025/
T007,Market,Market,"IAB projects U.S. CTV ad spend.",$26.6B,2025 projected,B,High,https://www.iab.com/insights/video-ad-spend-report-2025/
T008,Market,Market,"Nielsen reported streaming share of TV.",44.8%,May 2025,B,High,https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/
T009,Market,Market,"Nielsen reported combined broadcast+cable share.",44.2%,May 2025,B,High,https://www.nielsen.com/news-center/2025/streaming-reaches-historic-tv-milestone-eclipses-combined-broadcast-and-cable-viewing-for-first-time/
T010,Market,Market,"Nielsen reported streaming share of TV.",47.5%,Dec 2025,B,High,https://www.nielsen.com/pt-br/news-center/2026/streaming-shatters-multiple-records-in-december-2025-with-47-5-of-tv-viewing-according-to-nielsens-the-gauge/
T011,Market,Market,"Nielsen reported broadcast share.",21.4%,Dec 2025,B,High,https://www.nielsen.com/pt-br/news-center/2026/streaming-shatters-multiple-records-in-december-2025-with-47-5-of-tv-viewing-according-to-nielsens-the-gauge/
T012,Market,Market,"Nielsen reported cable share.",20.2%,Dec 2025,B,High,https://www.nielsen.com/pt-br/news-center/2026/streaming-shatters-multiple-records-in-december-2025-with-47-5-of-tv-viewing-according-to-nielsens-the-gauge/
T013,Market,Market,"Nielsen reported ad-supported TV viewing share.",72.9%,Q3 2025,B,Medium,https://www.nielsen.com/news-center/2025/ad-supported-content-accounts-for-72-9-of-tv/
T014,Market,Market,"Nielsen reported peak ad-supported viewing share.",74.7%,Sep 2025,B,Medium,https://www.nielsen.com/news-center/2025/ad-supported-content-accounts-for-72-9-of-tv/
T015,Market,Market,"IAB CAPI guide reports improved ROAS after CAPI.",~66%,2025 survey,B,Medium,https://www.iab.com/insights/state-of-capi-guide-for-marketers-and-media-owners/
T016,Company,MNTN,"MNTN reported FY2025 revenue.",$290.093M,FY2025,A,High,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm
T017,Company,MNTN,"MNTN reported FY2025 net loss.",$6.426M,FY2025,A,High,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm
T018,Company,MNTN,"MNTN reported year-end cash.",$210.204M,2025-12-31,A,High,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm
T019,Company,MNTN,"MNTN reported no borrowings outstanding.",No borrowings,2025-12-31,A,High,https://www.sec.gov/Archives/edgar/data/0001891027/000189102726000019/mntn-20251231.htm
T020,Company,MNTN,"MNTN IPO closing date disclosed.",IPO closed,2025-05-23,A,High,https://www.sec.gov/Archives/edgar/data/0001891027/000189102725000012/mntn-20250630.htm
T021,Company,MNTN,"MNTN Q4 2025 revenue (company release).",$92.5M,Q4 2025,B,Medium,https://www.nasdaq.com/press-release/mntn-reports-record-fourth-quarter-and-full-year-2025-results-2026-02-10
T022,Company,MNTN,"MNTN FY2025 gross margin (company release).",77%,FY2025,B,Medium,https://www.nasdaq.com/press-release/mntn-reports-record-fourth-quarter-and-full-year-2025-results-2026-02-10
